City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Skibbereen,IE,51.55,-9.2667,42.6,77,87,15.84,light rain
236,Sunyani,GH,7.3399,-2.3268,86.49,46,47,3.27,scattered clouds
237,Las Tunas,CU,20.9617,-76.9511,77.13,63,67,12.84,broken clouds
238,Kamenka,RU,51.3223,42.7678,21.74,67,4,9.75,clear sky
239,Ostrovnoy,RU,68.0531,39.5131,27.61,64,87,19.17,light snow
240,Yerbogachen,RU,61.2767,108.0108,9.72,95,90,7.54,overcast clouds
241,Norman Wells,CA,65.282,-126.8329,-29.16,62,40,0.0,scattered clouds
242,Berlevag,NO,70.8578,29.0864,26.55,86,75,9.22,snow
243,Baykit,RU,61.67,96.37,14.63,96,100,4.56,overcast clouds
244,Port Macquarie,AU,-31.4333,152.9167,69.89,100,90,12.66,heavy intensity rain
245,Jeremie,HT,18.65,-74.1167,82.94,70,35,8.79,scattered clouds
246,Pevek,RU,69.7008,170.3133,-24.11,99,85,3.6,overcast clouds
247,Kaitangata,NZ,-46.2817,169.8464,46.33,83,98,3.74,overcast clouds
248,Boca Do Acre,BR,-8.7522,-67.3978,81.19,88,99,1.83,overcast clouds
249,Tuxpan,MX,19.55,-103.4,74.97,38,8,1.66,clear sky
250,San Patricio,US,28.017,-97.5169,82.49,65,99,16.64,overcast clouds
251,Rocha,UY,-34.4833,-54.3333,85.23,25,0,11.68,clear sky
252,Camacha,PT,33.0833,-16.3333,63.82,55,20,12.66,few clouds
253,Feltre,IT,46.0235,11.907,45.93,75,2,2.24,clear sky
254,Yulara,AU,-25.2406,130.9889,62.42,56,0,13.47,clear sky
255,Sechura,PE,-5.5569,-80.8222,75.34,63,99,5.77,overcast clouds
256,Hovd,MN,48.0056,91.6419,28.47,53,70,8.61,broken clouds
257,Imbituba,BR,-28.24,-48.6703,72.68,60,39,10.76,scattered clouds
258,Mnogovershinnyy,RU,53.9353,139.9242,28.81,99,100,10.33,snow
259,Morro Bay,US,35.3658,-120.8499,64.99,47,9,8.75,clear sky
260,Upernavik,GL,72.7868,-56.1549,24.91,81,100,13.2,overcast clouds
261,Brae,GB,60.3964,-1.353,42.71,71,80,26.98,broken clouds
262,Booue,GA,-0.0921,11.9385,76.21,91,87,1.39,light rain
263,Turukhansk,RU,65.8167,87.9833,5.31,95,93,9.17,overcast clouds
264,Russell,US,32.3502,-85.1999,56.91,24,1,10.36,clear sky
265,Alyangula,AU,-13.8483,136.4192,83.35,69,97,12.39,overcast clouds
266,Port Lincoln,AU,-34.7333,135.8667,60.13,87,9,16.98,clear sky
267,Soe,ID,-9.8607,124.284,69.03,88,79,1.07,broken clouds
268,Basco,PH,20.4487,121.9702,76.95,78,100,26.35,overcast clouds
269,Dingle,PH,10.9995,122.6711,76.28,93,89,5.95,overcast clouds
270,Rundu,NA,-17.9333,19.7667,84.85,8,1,2.98,clear sky
271,Huarmey,PE,-10.0681,-78.1522,71.58,74,65,10.22,broken clouds
272,Skegness,GB,53.1436,0.3363,44.96,82,32,8.97,scattered clouds
273,Millinocket,US,45.6573,-68.7098,37.9,32,0,10.63,clear sky
274,Nefteyugansk,RU,61.0998,72.6035,-1.95,97,96,9.82,overcast clouds
275,Severo-Kurilsk,RU,50.6789,156.125,37.13,99,100,16.02,moderate rain
276,Plettenberg Bay,ZA,-34.0527,23.3716,60.89,75,74,14.32,broken clouds
277,Kenora,CA,49.8167,-94.4337,25.99,86,90,10.36,overcast clouds
278,Saint-Andre-Avellin,CA,45.7168,-75.066,36.0,46,4,7.45,clear sky
279,Ust-Kut,RU,56.7938,105.7672,20.16,98,100,3.2,overcast clouds
280,Korla,CN,41.7597,86.1469,29.03,53,0,1.59,clear sky
281,Lompoc,US,34.6391,-120.4579,69.13,70,4,4.0,clear sky
282,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,89.01,54,84,3.85,broken clouds
283,Ust-Uda,RU,54.1742,103.0304,13.1,98,97,4.36,overcast clouds
284,Buraydah,SA,26.326,43.975,65.41,38,1,12.26,clear sky
285,Bartica,GY,6.4,-58.6167,86.32,86,69,3.71,broken clouds
286,Souillac,MU,-20.5167,57.5167,77.36,70,95,3.29,overcast clouds
287,Mago,RU,53.2514,140.1822,24.62,97,100,4.0,snow
288,Asau,RO,46.4333,26.4,34.75,86,30,2.1,scattered clouds
289,Airai,TL,-8.9266,125.4092,62.38,92,65,0.11,broken clouds
290,Karasjok,NO,69.4719,25.5112,3.31,100,62,2.26,broken clouds
291,Cayenne,GF,4.9333,-52.3333,87.84,79,40,3.0,scattered clouds
292,Uhlove,UA,44.8215,33.6045,38.57,67,5,8.21,clear sky
293,Medea,DZ,36.2642,2.7539,46.85,80,57,8.43,broken clouds
294,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,73,0,12.66,clear sky
295,Bayangol,RU,50.6977,103.4656,9.07,94,94,2.04,overcast clouds
296,Omboue,GA,-1.5746,9.2618,78.22,84,92,6.17,light rain
297,Shitanjing,CN,39.2342,106.3439,33.93,24,0,4.47,clear sky
298,Dickson,US,36.077,-87.3878,55.35,39,1,11.5,clear sky
299,Iisalmi,FI,63.5592,27.1907,24.82,87,92,5.28,overcast clouds
300,Acapulco,MX,16.8634,-99.8901,84.07,66,26,1.63,scattered clouds
301,Williams Lake,CA,52.1415,-122.1445,18.23,86,100,1.01,overcast clouds
302,Santiago Del Estero,AR,-27.7951,-64.2615,85.32,51,80,16.82,broken clouds
303,Las Palmas,ES,28.4204,-14.0131,66.99,83,40,9.22,scattered clouds
304,Chunskiy,RU,56.0815,99.6342,20.19,93,91,4.79,overcast clouds
305,Chapais,CA,49.7834,-74.8492,28.62,75,16,10.27,few clouds
306,Cabedelo,BR,-6.9811,-34.8339,88.47,66,13,11.52,few clouds
307,Maarianhamina,AX,60.0973,19.9348,30.06,100,0,1.14,clear sky
308,Usukhchay,RU,41.4225,47.9132,50.81,93,78,2.57,broken clouds
309,Killarney,IE,52.05,-9.5167,42.85,87,75,9.22,broken clouds
310,Maple Creek,CA,49.9168,-109.4848,19.22,59,92,3.83,overcast clouds
311,Kankan,GN,10.3854,-9.3057,91.35,20,38,5.01,scattered clouds
312,Ende,ID,-8.8432,121.6623,78.6,85,87,1.5,overcast clouds
313,Redlands,US,34.0556,-117.1825,67.66,40,1,0.0,clear sky
314,Grandview,US,38.8858,-94.533,60.8,66,1,5.01,clear sky
315,Geraldton,AU,-28.7667,114.6,61.21,72,0,6.91,clear sky
316,Coos Bay,US,43.3665,-124.2179,42.78,95,1,3.44,clear sky
317,Te Anau,NZ,-45.4167,167.7167,45.5,86,99,1.63,overcast clouds
318,Esperance,AU,-33.8667,121.9,56.98,79,6,2.55,clear sky
319,Verkhoyansk,RU,67.5447,133.385,-40.74,100,46,0.07,scattered clouds
320,Shingu,JP,33.7333,135.9833,46.96,76,5,7.18,clear sky
321,Idaho Falls,US,43.4666,-112.0341,28.96,87,90,4.0,overcast clouds
322,Dongsheng,CN,39.8161,109.9776,27.66,42,0,7.76,clear sky
323,Luena,AO,-11.7833,19.9167,64.26,97,99,7.16,heavy intensity rain
324,Ancud,CL,-41.8697,-73.8203,66.42,88,91,10.16,overcast clouds
325,Champasak,LA,14.75,106.0,69.21,83,93,1.77,overcast clouds
326,Ferrol,ES,43.4832,-8.2369,54.68,71,72,16.6,broken clouds
327,Sola,VU,-13.8833,167.55,81.34,72,100,21.32,overcast clouds
